id,name,mileage,model,trim,price
187,پژو، 206,53,21,100,530
188,پژو، 206,190,11,100,298
189,پژو، 206,320,1,100,150
190,پژو، 206,71,18,100,440
191,پژو، 206,90,19,100,460
192,پژو، 206,74,18,300,445
193,پژو، 206,180,14,100,365
194,پژو، 206,173,15,300,378
195,پژو، 206,173,16,100,380
196,پژو، 206,35,21,100,509
197,پژو، 206,107,17,100,435
198,پژو، 206,41,19,100,500
199,پژو، 206,58,17,100,445
200,پژو، 206,186,9,200,430
201,پژو، 206,0,21,100,600
202,پژو، 206,90,17,300,480
203,پژو، 206,0,21,100,585
204,پژو، 206,120,16,100,420
205,پژو، 206,194,10,300,340
206,پژو، 206,200,15,100,340
207,پژو، 206,195,10,100,300
208,پژو، 206,133,16,300,465
209,پژو، 206,250,3,300,245
210,پژو، 206,132,9,100,319
211,پژو، 206,160,16,100,358
212,پژو، 206,47,19,100,500
213,پژو، 206,240,14,300,370
214,پژو، 206,79,17,300,495
215,پژو، 206,65,18,300,515
216,پژو، 206,80,18,300,560
217,پژو، 206,34,18,300,570
218,پژو، 206,10,21,100,540
219,پژو، 206,170,6,100,250
220,پژو، 206,33,18,300,575
221,پژو، 206,40,19,100,500
222,پژو، 206,25,21,100,535
223,پژو، 206,14,21,400,595
224,پژو، 206,465,2,100,170
225,پژو، 206,157,2,100,245
226,پژو، 206,300,6,100,225
227,پژو، 206,20,21,100,540
228,پژو، 206,18,21,100,540
229,پژو، 206,300,5,100,215
230,پژو، 206,105,16,300,445
231,پژو، 206,160,16,300,475
232,پژو، 206,73,18,300,490
233,پژو، 206,8,21,100,540
234,پژو، 206,302,10,400,300
235,پژو، 206,77,19,100,480
236,پژو، 206,40,21,100,555
237,پژو، 206,380,1,100,180
238,پژو، 206,114,15,300,410
239,پژو، 206,60,21,100,495
240,پژو، 206,95,19,100,475
241,پژو، 206,54,18,100,454
242,پژو، 206,25,19,300,515
243,پژو، 206,220,9,100,305
244,پژو، 206,185,4,100,225
245,پژو، 206,16,21,100,550
246,پژو، 206,220,3,300,245
247,پژو، 206,20,21,100,545
248,پژو، 206,70,19,300,535
249,پژو، 206,83,16,100,370
250,پژو، 206,523,3,100,170
251,پژو، 206,50,21,100,520
252,پژو، 206,47,19,100,479
253,پژو، 206,170,6,100,263
254,پژو، 206,132,15,100,380
255,پژو، 206,132,8,100,290
256,پژو، 206,120,19,100,415
257,پژو، 206,61,18,300,515
258,پژو، 206,109,15,300,440
259,پژو، 206,149,14,100,385
260,پژو، 206,130,14,300,450
261,پژو، 206,317,5,100,230
262,پژو، 206,75,19,100,484
263,پژو، 206,63,19,300,570
264,پژو، 206,140,17,300,360
265,پژو، 206,170,15,300,415
266,پژو، 206,185,13,300,395
267,پژو، 206,133,14,300,435
268,پژو، 206,40,19,100,500
269,پژو، 206,94,19,100,465
270,پژو، 206,350,1,100,217
271,پژو، 206,81,18,300,485
272,پژو، 206,120,13,300,395
273,پژو، 206,300,1,100,165
274,پژو، 206,213,8,100,270
275,پژو، 206,160,16,100,410
276,پژو، 206,280,10,100,318
277,پژو، 206,77,18,300,520
278,پژو، 206,112,17,100,420
279,پژو، 206,166,15,300,385
280,پژو، 206,54,19,100,475
281,پژو، 206,22,21,100,495
282,پژو، 206,65,19,100,440
283,پژو، 206,27,21,100,520
284,پژو، 206,14,21,400,565
285,پژو، 206,90,18,300,530
286,پژو، 206,140,16,100,410
287,پژو، 206,400,5,100,230
288,پژو، 206,77,19,100,470
289,پژو، 206,190,16,100,416
290,پژو، 206,27,21,100,525
291,پژو، 206,300,8,100,300
292,پژو، 206,500,2,100,185
293,پژو، 206,85,18,100,426
294,پژو، 206,145,16,100,398
295,پژو، 206,310,9,100,260
296,پژو، 206,167,16,100,390
297,پژو، 206,230,7,100,250
298,پژو، 206,157,16,300,450
299,پژو، 206,150,18,100,398
300,پژو، 206,30,21,400,610
301,پژو، 206,35,21,100,520
302,پژو، 206,18,19,100,480
303,پژو، 206,58,19,100,495
304,پژو، 206,0,21,100,580
305,پژو، 206,57,19,100,480
306,پژو، 206,110,14,300,445
307,پژو، 206,200,9,100,300
308,پژو، 206,300,11,100,320
309,پژو، 206,200,6,400,270
310,پژو، 206,75,17,100,435
311,پژو، 206,170,15,300,410
312,پژو، 206,160,14,300,370
313,پژو، 206,36,19,100,475
314,پژو، 206,96,19,300,540
315,پژو، 206,128,17,100,420
316,پژو، 206,120,18,100,429
317,پژو، 206,133,14,300,435
318,پژو، 206,160,11,100,317
319,پژو، 206,167,13,300,365
320,پژو، 206,200,12,300,350
321,پژو، 206,270,6,100,242
322,پژو، 206,20,21,400,608
323,پژو، 206,170,15,300,435
324,پژو، 206,172,14,300,440
325,پژو، 206,150,10,100,319
326,پژو، 206,170,14,100,350
327,پژو، 206,280,9,100,269
328,پژو، 206,30,20,100,515
329,پژو، 206,250,10,100,280
330,پژو، 206,385,1,100,155
331,پژو، 206,84,17,100,365
332,پژو، 206,31,19,300,550
333,پژو، 206,109,16,300,410
334,پژو، 206,168,15,300,420
335,پژو، 206,204,16,300,443
336,پژو، 206,250,9,100,315
337,پژو، 206,148,19,100,440
338,پژو، 206,270,11,100,345
339,پژو، 206,38,18,100,470
340,پژو، 206,240,14,300,390
341,پژو، 206,48,19,300,530
342,پژو، 206,36,21,100,508
343,پژو، 206,182,14,300,350
344,پژو، 206,92,16,100,350
345,پژو، 206,161,15,300,410
346,پژو، 206,100,17,300,479
347,پژو، 206,9,21,100,580
348,پژو، 206,23,21,100,520
349,پژو، 206,96,17,100,433
350,پژو، 206,378,3,300,250
351,پژو، 206,170,15,100,365
352,پژو، 206,119,19,300,485
353,پژو، 206,240,5,400,245
354,پژو، 206,437,6,100,170
355,پژو، 206,120,17,300,458
356,پژو، 206,290,4,400,260
357,پژو، 206,31,21,100,530
358,پژو، 206,60,21,100,520
359,پژو، 206,290,8,100,285
360,پژو، 206,96,19,300,540
361,پژو، 206,64,19,300,530
362,پژو، 206,28,20,100,510
363,پژو، 206,39,19,100,452
364,پژو، 206,130,18,100,433
365,پژو، 206,184,16,100,355
366,پژو، 206,340,8,100,270
367,پژو، 206,157,16,300,450
368,پژو، 206,14,21,400,565
369,پژو، 206,115,15,300,445
370,پژو، 206,45,21,100,510
371,پژو، 206,53,19,300,455
372,پژو، 206,150,16,300,418
373,پژو، 206,0,21,100,565
374,پژو، 206,157,16,300,450
375,پژو، 206,135,15,100,370
376,پژو، 206,470,2,100,177
377,پژو، 206,134,15,300,390
378,پژو، 206,35,20,100,510
379,پژو، 206,90,18,100,465
380,پژو، 206,169,8,400,275
381,پژو، 206,140,14,300,340
382,پژو، 206,229,9,100,310
383,پژو، 206,290,8,100,290
384,پژو، 206,80,20,100,480
385,پژو، 206,47,19,300,575
386,پژو، 206,128,16,100,400
387,پژو، 206,33,19,100,470
388,پژو، 206,240,5,400,240
389,پژو، 206,111,17,100,420
390,پژو، 206,110,16,300,410
391,پژو، 206,79,19,100,442
392,پژو، 206,51,17,300,510
393,پژو، 206,390,2,100,175
394,پژو، 206,325,10,300,325
395,پژو، 206,170,16,300,392
396,پژو، 206,131,15,300,385
397,پژو، 206,480,2,100,200
398,پژو، 206,120,16,100,400
399,پژو، 206,120,17,100,410
400,پژو، 206,150,15,300,420
401,پژو، 206,0,21,400,595
402,پژو، 206,184,16,100,360
403,پژو، 206,31,19,300,570
404,پژو، 206,457,3,300,220
405,پژو، 206,40,21,100,525
